name,ats,slug,source_url
1Password,ashby,1password,https://jobs.ashbyhq.com/1password/
Airwallex,ashby,airwallex,https://jobs.ashbyhq.com/airwallex/
Ambience Healthcare,ashby,ambiencehealthcare,https://jobs.ashbyhq.com/ambiencehealthcare/
Baseten,ashby,baseten,https://jobs.ashbyhq.com/baseten/
Clay,ashby,claylabs,https://jobs.ashbyhq.com/claylabs/
ClickUp,ashby,clickup,https://jobs.ashbyhq.com/clickup/
DeepL,ashby,DeepL,https://jobs.ashbyhq.com/DeepL/
Docker,ashby,docker,https://jobs.ashbyhq.com/docker/
Kong,ashby,kong,https://jobs.ashbyhq.com/kong/
Modern Treasury,ashby,moderntreasury,https://jobs.ashbyhq.com/moderntreasury/
Plaid,ashby,plaid,https://jobs.ashbyhq.com/plaid/
Synthesia,ashby,synthesia,https://jobs.ashbyhq.com/synthesia/
Thumbtack,ashby,thumbtack,https://jobs.ashbyhq.com/thumbtack/
Weave,ashby,weave,https://jobs.ashbyhq.com/weave/
AlphaSense,greenhouse,alphasense,https://job-boards.greenhouse.io/alphasense/jobs/
Anthropic,greenhouse,anthropic,https://job-boards.greenhouse.io/anthropic/jobs/
Apollo.io,greenhouse,apolloio,https://job-boards.greenhouse.io/apolloio/jobs/
Calendly,greenhouse,calendly,https://job-boards.greenhouse.io/calendly/jobs/
Carta,greenhouse,carta,https://job-boards.greenhouse.io/carta/jobs/
Cloudflare,greenhouse,cloudflare,https://job-boards.greenhouse.io/cloudflare/jobs/
Dataiku,greenhouse,dataiku,https://job-boards.greenhouse.io/dataiku/jobs/
Everlane,greenhouse,everlane,https://job-boards.greenhouse.io/everlane/jobs/
Faire,greenhouse,faire,https://job-boards.greenhouse.io/faire/jobs/
Figma,greenhouse,figma,https://job-boards.greenhouse.io/figma/jobs/
Forter,greenhouse,forter,https://job-boards.greenhouse.io/forter/jobs/
GitLab,greenhouse,gitlab,https://job-boards.greenhouse.io/gitlab/jobs/
GlossGenius,greenhouse,glossgenius,https://job-boards.greenhouse.io/glossgenius/jobs/
Glossier,greenhouse,glossier,https://job-boards.greenhouse.io/glossier/jobs/
Gong,greenhouse,gongio,https://job-boards.greenhouse.io/gongio/jobs/
Guidepoint,greenhouse,guidepoint,https://job-boards.greenhouse.io/guidepoint/jobs/
Justworks,greenhouse,justworks,https://job-boards.greenhouse.io/justworks/jobs/
Komodo Health,greenhouse,komodohealth,https://job-boards.greenhouse.io/komodohealth/jobs/
Lucid Motors,greenhouse,lucidmotors,https://job-boards.greenhouse.io/lucidmotors/jobs/
Mixpanel,greenhouse,mixpanel,https://job-boards.greenhouse.io/embed/job_app?for=mixpanel
Motive,greenhouse,gomotive,https://job-boards.greenhouse.io/gomotive/jobs/
Oklo,greenhouse,oklo,https://job-boards.greenhouse.io/oklo/jobs/
OneTrust,greenhouse,onetrust,https://job-boards.greenhouse.io/onetrust/jobs/
